top - 23:02:31 up 13 days, 12:31,  5 users,  load average: 0,07, 0,14, 0,09
Threads: 573 total,   1 running, 572 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3,1 us,  4,7 sy,  0,0 ni, 89,1 id,  3,1 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :   3799,2 total,    526,1 free,   1688,0 used,   1874,2 buff/cache     
MiB Swap:   3798,0 total,   3694,8 free,    103,1 used.   2111,2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 164842 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164843 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164844 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164845 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164846 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164847 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164848 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164849 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164850 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164851 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164852 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164853 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164854 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164855 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164856 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164857 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164858 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164859 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164860 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164861 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164862 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164863 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164864 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164865 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164866 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164867 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164868 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164869 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164870 gustavo   20   0   13,8g 404364  57808 S   0,0  10,4   0:00.00 node /o+
 164872 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:34.11 node /o+
 164873 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node
 164874 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:01.93 node
 164875 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:02.00 node
 164876 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:01.88 node
 164877 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:01.96 node
 164878 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node
 164880 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164881 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164882 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164883 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164884 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164885 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164886 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164887 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164888 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164889 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164890 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164891 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164892 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164893 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164894 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164895 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164896 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164897 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164898 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164899 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164900 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164901 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164902 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164903 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164904 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.01 node /o+
 164905 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
